"expo","Age8_p","Age8_s","Age7_p","Age7_s","Age6_p","Age6_s","Age5_p","Age5_s","Age4_p","Age4_s","Age3_p","Age3_s","Age2_p","Age2_s","Age1_p","Age1_s"
"DP03_0052PE",0.119100278831634,1.01560980742956,1.28881199928875e-07,1.04798010891333,1.86934918653897e-08,1.04721454037303,3.22484467435852e-09,1.05269519432578,5.46595540545614e-09,1.05237479810319,3.74467794191199e-08,1.04653313410878,0.0125526955635129,1.02195232913737,9.23347026123506e-05,1.05098051911493
"DP03_0053PE",0.161605757751139,1.03037002145103,6.50532716828446e-08,1.10827788192637,3.05453758332868e-12,1.12626772783558,7.6316180494443e-12,1.13281990727196,1.63860595280329e-12,1.13744641523011,1.20505389956908e-11,1.12381458683879,0.000138962090603855,1.07237347304701,3.53398482412783e-07,1.14518746047811
"DP03_0054PE",0.795888390147786,1.00314563774497,7.88582795386992e-09,1.06348817081278,4.30839695090141e-17,1.08091499083249,1.30387026722892e-19,1.09151123845493,9.8002790875655e-23,1.09776010591404,2.0589723201571e-24,1.0938148668221,9.64677900161404e-13,1.0711092812831,3.66951849349656e-14,1.11182963753093
"DP03_0055PE",0.516150027249814,1.01080661762476,3.76365585065877e-09,1.08937373610112,1.79481100383365e-21,1.12331825792807,2.46264574529869e-25,1.14055663061537,3.54340366643988e-28,1.14727889266092,2.36028645541411e-29,1.13936926016632,3.73438571768665e-17,1.11249945258936,2.44868552676057e-15,1.16127206476835
"DP03_0056PE",0.66362897250306,0.993157104368235,0.00116109202541639,1.04848159282638,7.097510802279e-11,1.08638718670628,1.76639906018158e-20,1.12299474531269,3.10852939682504e-25,1.13452681308499,1.53266478050356e-22,1.12025127544382,4.97859948107668e-17,1.10681672931413,1.3453379266814e-16,1.15892644890683
"DP03_0057PE",0.0590893910274256,0.9745324650086,0.195613408324853,1.01694904894529,3.92083197599837e-05,1.04922920549438,8.54277139309331e-09,1.07175342608606,4.44955200476855e-10,1.07754583231432,1.4838103268304e-08,1.06652519325084,1.22517758700868e-06,1.05760260493946,9.73234984611517e-10,1.10731375399231
"DP03_0058PE",0.122870647310776,0.974118090057932,0.0190507611495449,0.963295786347737,0.152821783567195,0.97879903878629,0.283246757289287,0.982992809942054,0.353576030350539,0.985167163406657,0.263150349970983,0.98327876550858,0.496801664388988,0.989811771094342,0.895638136754528,0.997034938928387
"DP03_0059PE",0.227059244772575,0.988018256615152,9.710976228824e-08,0.953718871439209,1.07308969830596e-11,0.947169095326514,3.08333528471849e-14,0.938762499117297,7.81057940213507e-15,0.937280615655268,3.3949411246425e-14,0.942172228003373,4.53482884833549e-09,0.953048099455674,1.46956280373541e-08,0.933326653770347
"DP03_0060PE",0.895365525348608,1.00162838889843,2.52869077409622e-09,0.937501793378637,5.56117297346924e-21,0.917493014731141,6.5149943187466e-31,0.900146273096306,3.4107138776095e-35,0.895530443821539,7.47519286695965e-32,0.904641564821555,5.35721569098857e-17,0.923665686442158,5.80599563647068e-20,0.883154190312825
"DP03_0061PE",0.639525368557172,1.00265541057097,2.28205069171723e-05,0.978432232292023,2.81720898323461e-15,0.965861503399816,3.76814069936656e-21,0.958690940106828,4.04365058290685e-25,0.955728073271227,2.69301999625045e-23,0.959598371397762,5.21329125876447e-10,0.9717908023458,1.43973296423629e-17,0.946238105176383
"DP03_0064PE",0.189338772009854,1.00961249044716,0.783522603472091,0.998080278586129,0.731938188813943,0.997779053918418,0.408439545888579,0.994330265642532,0.0898821061225448,0.988381320595843,0.0209330713250471,0.985263409598601,0.40990747911283,0.994659497216425,0.763286935155177,1.00295295471586
"DP03_0066PE",0.00437147304030726,0.979364670660058,0.00206156585039502,0.978996990634112,0.00485134269511942,0.982026746197802,0.0594636605392884,0.987029639745154,0.768911982619144,0.997937691575433,0.338034794565268,1.00632954185549,0.161368420760554,1.00922606285899,0.0652702932806481,0.981970452886786
"DP03_0068PE",0.00737890006622668,0.975530741552798,3.00029822325932e-06,0.961263397329204,3.17299674161806e-08,0.958127918626973,1.88123540104652e-08,0.954827075890291,2.00653722917447e-05,0.964334773950315,0.00784585929930178,0.978470971089669,0.0243008243448266,0.981686383432329,1.21340836485903e-05,0.948922033868036
"DP03_0070PE",0.31148166438436,1.01692857912008,6.74603311673539e-08,1.08274336549636,1.76197065338708e-11,1.09346122334165,9.87988343838534e-12,1.1008585468165,2.22342182203812e-13,1.10821564305308,2.14025490881765e-14,1.10454502000637,5.681490710546e-06,1.0656750615057,6.64391783584138e-06,1.09817050574841
"DP03_0072PE",0.167943436624647,1.04101557918858,1.51755326903069e-07,1.14646253064549,2.29799110508938e-14,1.19039937387546,3.25969010323056e-17,1.22185681328114,1.99733563426551e-19,1.23584112563026,2.29129379089909e-20,1.22385730816361,1.23092779927421e-10,1.16432124312198,1.84485904631797e-11,1.26208518315223
"DP03_0074PE",0.170711774715651,1.00640984803359,4.07101314805169e-13,1.02915814927401,1.12731140059861e-22,1.03409476287114,2.1122869989104e-28,1.0393957647493,4.06258981093688e-30,1.04047089059252,1.8478455376718e-31,1.03838729881042,2.8025907596887e-15,1.0291311960153,8.91419566474773e-18,1.04592765890104
"DP03_0076PE",0.124760578298516,1.0186510834384,6.42531460135819e-08,1.05964574239953,1.73275943299491e-08,1.05760677593646,1.92207355794208e-10,1.06838428060367,8.36384026701715e-11,1.07004520147834,5.18602251515365e-11,1.06611420737467,0.000140083034886736,1.04016105061306,6.48918500578952e-06,1.07086165278412
"DP03_0077PE",0.0971751604630799,1.0457836959351,1.42410209529195e-07,1.13542351308146,3.17025973278176e-12,1.16209364962087,3.43676607522456e-11,1.1659090357444,2.52513182734149e-11,1.16814692122471,1.95084182571129e-10,1.15031186922675,7.0043925551203e-06,1.10848264622854,1.07381645607522e-07,1.19473856462849
"DP03_0078PE",0.228916995478973,1.01398042807267,4.54354777536788e-13,1.07348670580742,2.11448275207244e-26,1.09142995825962,1.38245935741392e-26,1.09788798140234,1.77419900421324e-26,1.09846002126124,5.02252896936052e-25,1.09004480089307,3.1396871480165e-14,1.07122807532671,2.93039053359668e-16,1.11264040275043
"DP03_0079PE",0.165268624354488,1.01842241544001,7.0481358450516e-13,1.08378938268226,3.16927280086018e-29,1.10901846844772,1.23577840897277e-34,1.12323485229628,1.0293474358495e-41,1.13152681806052,4.93982945600254e-40,1.12113975639009,2.92878986159601e-24,1.10208490680208,3.8883811897922e-22,1.14660335936313
"DP03_0080PE",0.87303359308444,0.997998919643148,7.65578879985902e-07,1.0570859199469,7.45745152660643e-18,1.08539809552403,3.47617969107564e-34,1.11631041965612,3.92336404364619e-40,1.12326673302293,4.66329869700071e-37,1.11223029004686,1.0641340909194e-25,1.09892872563522,1.92159259626507e-23,1.14249918954521
"DP03_0081PE",0.0861064942756214,0.982409339288521,0.0380518820700805,1.02039662093726,4.05754144849615e-08,1.04825522206374,9.21549951811821e-14,1.06694920032909,2.01051823254132e-16,1.07292150721814,7.60589093698603e-17,1.06896464625058,5.07834457366608e-12,1.0590326003235,1.01514074164775e-13,1.09420582294558
"DP03_0082PE",0.0267828154676945,0.968841651671931,0.059043316927964,0.974743306617151,0.667756135945758,0.994549467673796,0.829721893000349,1.00291817770141,0.502553938385152,1.00918108113117,0.245459147394981,1.01491874042624,0.369652498512346,1.01150538106817,0.33596269370207,1.0186135669845
