"expo","Age8_p","Age8_s","Age7_p","Age7_s","Age6_p","Age6_s","Age5_p","Age5_s","Age4_p","Age4_s","Age3_p","Age3_s","Age2_p","Age2_s","Age1_p","Age1_s"
"DP04_0017PE",0.71298868464979,1.0250571539169,0.0280518628688841,0.870895760198416,9.3837963680653e-06,0.777300672537943,9.79759019097449e-08,0.728744736245325,8.40761389827028e-12,0.674280551260298,4.80301927725596e-16,0.65467219384605,2.42493375970769e-10,0.707269544332406,2.35381997965542e-07,0.648240593564487
"DP04_0018PE",0.665232170352943,0.977827276696961,0.172836513777588,0.935675049682438,0.021084802937263,0.901200272201411,0.00255605006052639,0.866192043604821,1.0139662057843e-05,0.812945958070428,9.99298022533556e-07,0.808079823964471,2.72287798665858e-07,0.800318485567938,0.00107987050955005,0.802170423806373
"DP04_0019PE",0.759191082762578,0.998098648480269,0.0577917801282584,0.989019013064731,0.0310814959072317,0.988407124562794,0.0177608318940958,0.986478011021191,0.000572232417652368,0.980543118723996,8.01472501432554e-05,0.979292856732705,0.00254985465221547,0.983925337175603,0.0481959850988955,0.984045917787868
"DP04_0020PE",0.37105238385122,0.994850469702916,0.000332748155860768,0.981130994721094,6.2932573803762e-07,0.976267891703011,1.99827191783012e-08,0.971977027286657,3.92168547433242e-10,0.969049498035227,4.57149105751476e-08,0.974101886412016,0.000208887561060944,0.981808790020521,0.00200621843516247,0.977233959651499
"DP04_0021PE",0.13418652852351,0.989729031530108,1.3278267488003e-07,0.968014676502526,1.02583876575944e-13,0.960339648007874,4.97648206282386e-14,0.957373943575151,1.18102372374122e-12,0.959000397270061,4.05743862583011e-12,0.962244410735143,1.12648678154164e-08,0.967954332424923,1.05899713808743e-06,0.95854072161293
"DP04_0022PE",0.172278699405603,0.993101360427179,0.000438494899249596,0.983679214259624,7.7135678284555e-05,0.983044279745289,0.0025069716661125,0.985979893109465,0.00645416111639974,0.987220196094531,0.00559783825760654,0.987820232620956,0.00601145427012317,0.987936627381742,0.00779553290060344,0.982531880105915
"DP04_0023PE",0.0311167198448987,0.982861692547005,0.0607257178203666,0.985852855150751,0.321570501441727,0.992970825789292,0.779104350914723,0.997872809905251,0.544658989018839,1.00463997844243,0.155502998231379,1.01018931730918,0.272943431430353,1.00785498821547,0.789291882079318,1.00286593965505
"DP04_0024PE",0.240354445365085,0.994348893102612,0.590164524698559,1.00246527443897,0.0469904392467205,1.00842202401812,0.056176039282575,1.00862841733857,0.000872954284744694,1.0149337658737,6.87839062265689e-05,1.01658136337696,4.63253340235164e-05,1.01690626136578,0.0513169613110096,1.0124205631422
"DP04_0025PE",0.956272242724422,1.00053806180899,0.0146139712782085,1.02257895219789,7.32215235556188e-05,1.03360154943844,2.7178202647308e-05,1.03777110929274,4.70634748157967e-07,1.04506485101561,2.37784217608641e-08,1.04626419460871,1.17082340626313e-05,1.03701133726193,0.00438654400329643,1.03693395706215
"DP04_0026PE",0.00122036772866279,1.00842052056188,1.07378521635041e-10,1.01491655685071,2.09167620984023e-11,1.01431578843448,2.19854065806488e-10,1.01457585943817,5.20123919870048e-08,1.01285421530709,5.97744089310771e-06,1.01020257467088,0.00109410546629921,1.0074943854713,8.34172976930617e-05,1.01331995463464
