"expo","Age8_p","Age8_s","Age7_p","Age7_s","Age6_p","Age6_s","Age5_p","Age5_s","Age4_p","Age4_s","Age3_p","Age3_s","Age2_p","Age2_s","Age1_p","Age1_s"
"DP03_0096PE",0.124470514889782,0.983036806492251,1.10199829908463e-15,0.927599047329794,8.99181173657962e-41,0.906138159102991,3.64190490708802e-61,0.890157531093028,3.56731313074606e-71,0.886659578533189,1.11959991697893e-53,0.899635424972731,3.13352246366452e-40,0.906432140970617,2.95823097544555e-43,0.867338961504799
"DP03_0097PE",0.219240700035694,0.996071685698344,1.73211246537781e-15,0.978976073270883,9.82301020238389e-37,0.973285192744929,1.98235874109695e-51,0.96890290431765,1.97195135463926e-60,0.96748685871798,1.69447670425565e-56,0.970010066338491,5.43430438992053e-32,0.974331153137419,5.38534636802741e-32,0.963228439368958
"DP03_0098PE",0.902341125609188,0.999470730248686,6.44150541780505e-07,1.01938001645804,2.52033249307001e-14,1.02598246496249,5.31568709782642e-20,1.03186018028938,1.34563000899273e-25,1.03521713784479,1.29106065151076e-28,1.03425222164553,6.51105305495603e-18,1.02869944058261,1.3191490839451e-13,1.03765194899376
"DP03_0099PE",0.129300713219041,1.01727631650046,1.36036547039513e-15,1.07805564212323,5.04187954996102e-41,1.10359032062886,5.24304715830735e-62,1.12340117686673,3.91601215464646e-70,1.12783061889083,5.16518515900645e-53,1.11156730914782,1.96378749244326e-40,1.10322884804999,4.87018262346478e-44,1.15419130830581
"DP03_0101PE",0.315757668142757,1.02471494958498,0.000142093471429028,1.08850533867174,5.12733015512253e-06,1.0979398107189,1.29747106462913e-06,1.11069531987722,5.84132856633485e-07,1.11484362534741,1.25148164722702e-05,1.09444403375544,9.67706075846836e-05,1.08441871490287,1.23378613291443e-07,1.1721319976286
"DP03_0105PE",0.432860758989379,0.994143916166975,3.09326516198413e-11,0.9582149575257,3.59826786899929e-32,0.941121297497386,4.51756562428308e-51,0.928992169570795,8.34078708160797e-62,0.925240216881167,1.96609877130425e-48,0.933751704883516,5.07354120075014e-45,0.935053526043813,1.12512515604731e-40,0.911420285484064
"DP03_0106PE",0.375691886615637,0.99599167954665,2.40619306591987e-13,0.972351224910538,5.01400726621544e-36,0.962799334019384,1.37459584877022e-53,0.956063153359239,3.80035491256464e-64,0.953938516243041,2.66226868113718e-60,0.957430674705552,4.31289021997683e-39,0.961846364902165,6.24727594624392e-37,0.946689156473746
"DP03_0107PE",0.493719703444519,1.00506198547496,3.75406600588966e-08,1.03657196915263,4.12125420850212e-15,1.04597275741858,1.72997905309397e-18,1.05340529043355,2.09338028977693e-20,1.05596089690914,6.36938930857903e-24,1.05561552844704,9.65095459654071e-13,1.04267466650745,4.45379872468297e-13,1.06441382472548
"DP03_0108PE",0.435483992018218,1.00589165506893,4.98735252417924e-11,1.04361107956339,6.67910974032518e-32,1.06257004583894,1.09464959308387e-50,1.07643682570056,9.69137671428533e-62,1.0808027227442,3.59095715667079e-48,1.07095056712803,5.9723042373728e-45,1.06945940542687,2.28204999578259e-40,1.09718888087048
"DP03_0110PE",0.0632881921747149,0.990729161925484,7.05962012967027e-08,0.976096180409504,1.14267323931128e-13,0.971039373275867,4.19643271022128e-18,0.965308552945222,5.47617909694787e-20,0.963645202692738,1.2719450249813e-16,0.968302544815102,3.99816647641997e-11,0.973532447867674,5.99212392669132e-11,0.961055718047693
"DP03_0111PE",0.0988173008123708,0.995637535483639,2.8690901296877e-14,0.983145967664025,3.34604568311842e-23,0.980916871427918,6.66157684870891e-28,0.978335553370763,2.82750372319931e-28,0.978100547179925,6.80843570509638e-28,0.979560167119265,4.71120434929906e-16,0.983439743743085,1.55880850041508e-20,0.973260542911401
"DP03_0112PE",0.409861955052482,1.00273591296766,9.45522473276462e-08,1.01586456591122,1.77955974112467e-10,1.01724484501664,7.30063025774631e-11,1.0186980548795,2.34724223007846e-10,1.01838154692988,7.2100389679868e-12,1.01838412621234,5.954360924222e-07,1.01395088318108,1.80134340837745e-09,1.02441908771131
"DP03_0113PE",0.0631687160934494,1.00935915126099,6.54862553344245e-08,1.02448976968393,1.27144855772336e-13,1.02982000501298,4.61612614186545e-18,1.03592897457997,5.3922470401587e-20,1.03771805759013,1.27911982452656e-16,1.03272527265106,4.20792190561679e-11,1.0271799426726,6.80883946974135e-11,1.04051047882203
"DP03_0115PE",0.0379928365769064,0.985412173759956,4.28626746123713e-13,0.95690892021462,4.60325019643127e-30,0.944812925336494,1.89057644750894e-44,0.934250762189041,2.02079756672405e-49,0.932051815753151,2.49170110701226e-39,0.940011974316776,2.55644070809928e-29,0.945221141479812,5.77882297038179e-32,0.919279414735552
"DP03_0116PE",0.067771210589747,0.995337374850969,5.0171158797842e-18,0.982007442897418,2.92468594897194e-38,0.978239371292945,1.02534355075112e-52,0.974804526684539,1.69231277288157e-53,0.974539862415382,1.18096062395658e-46,0.97694946573776,9.72273214477069e-26,0.980777404418169,9.21690224087698e-30,0.970810975764783
"DP03_0117PE",0.196048343033165,1.00409990325428,1.93444299918664e-12,1.01922955927379,5.58799045392796e-21,1.02237801908259,9.48653386813296e-26,1.02571397372847,5.72809348394312e-26,1.02597537598798,9.83849213675704e-25,1.02389168802372,5.92742977731242e-14,1.01893474518096,3.83464310163747e-15,1.02907212665529
"DP03_0118PE",0.039048670648544,1.01480608441467,4.73512432725308e-13,1.04502985588936,5.91330987775525e-30,1.05841231804942,1.91778775459576e-44,1.07037816085531,2.3553283983211e-49,1.07290759839166,4.42541010381315e-39,1.06381876601607,3.74137556054668e-29,1.05795246992742,6.53294506832638e-32,1.08780625815491
