"expo","Age8_p","Age8_s","Age7_p","Age7_s","Age6_p","Age6_s","Age5_p","Age5_s","Age4_p","Age4_s","Age3_p","Age3_s","Age2_p","Age2_s","Age1_p","Age1_s"
"DP03_0033PE",0.0216766952893016,0.708878461511381,0.00216958132126783,0.650308097971491,0.00779476456265801,0.704622956920916,0.0613892323060761,0.767876833458408,0.0863410974099079,0.78342473052217,0.142318346858085,0.821950438611552,0.0711732103693439,0.786537924951227,0.417992527060097,0.848432837397449
"DP03_0034PE",0.0107384438130494,0.945385377869372,0.291588152108926,0.97803484038541,0.24428604179873,1.02309144384855,0.0221183656298939,1.04849036958121,0.00338967231033985,1.06245756340896,0.00102699949764566,1.06539858550804,9.21042053846194e-06,1.08735248445393,0.0475443545716436,1.0596530061158
"DP03_0035PE",0.00266327430827957,0.971344115551595,0.296215079027088,0.990323086023517,0.18265285395649,1.01160522905326,0.0024274727103426,1.02784543728498,5.11579978393299e-05,1.0370190777138,7.44987848224057e-08,1.04506767057822,1.24635658476134e-13,1.05925505683767,7.21961560994198e-09,1.07160447565123
"DP03_0036PE",0.936575395340192,0.996735133812117,0.000365741346273111,0.87416495403265,0.000551856718196908,0.885463556811924,0.000490038083431484,0.877435284286428,0.00390076169381644,0.895953723867758,0.00419267209933346,0.902844968855488,0.712052832852276,0.986691676177281,0.0821823048363126,0.910217064072669
"DP03_0037PE",0.224037331076106,0.973106771005498,0.585277274864449,0.98846863933019,0.161490611724745,1.02803266747033,0.0078250013913463,1.05674985928469,0.000757618994678419,1.07222638045403,0.000226728004202854,1.07379222877701,0.000538440332998759,1.06927182369947,3.8591289143919e-05,1.12532399935541
"DP03_0038PE",0.780312548165547,1.00451878943892,0.000187088694432578,1.0568488416667,3.87388783548727e-09,1.0808827989939,1.72871210131827e-10,1.09271188281247,1.42709666477099e-12,1.10213433056388,5.96342369310717e-14,1.10022012612021,7.99485864143651e-07,1.06904994994365,9.35159474869606e-06,1.09436896622072
"DP03_0039PE",0.00312519744473754,1.19680484845174,0.224007705147296,0.931444344956812,0.00251710675287469,0.850841660265206,1.30339771937798e-06,0.765681858281412,7.05710207455821e-10,0.717245296367147,2.4636698474123e-12,0.707216443270693,4.96149455753451e-11,0.720206082645221,6.12339165597881e-07,0.681876912036979
"DP03_0040PE",0.808968159870373,1.00349344033158,0.000121451841219731,0.950564339145457,3.56463473464165e-14,0.91783527018887,6.56235409237716e-20,0.900223090877602,9.77343426284841e-25,0.891500860561221,8.99681457717224e-34,0.886571089884481,1.51523799793156e-19,0.906339377677255,4.67294360901915e-19,0.866697029658153
"DP03_0041PE",0.32427560818377,1.01080220899467,0.148147849637698,0.985250595973014,0.000754898243353103,0.968861738910338,4.36351314075498e-05,0.9604714228838,5.2602899557495e-08,0.948726574376259,1.56334242683495e-11,0.942446117781903,2.70287783050733e-07,0.95415220884561,3.58411311081982e-05,0.943798028490776
"DP03_0042PE",0.0571384316188041,1.0176683358212,0.447357280677541,1.00667753396151,0.311262723070411,0.991785274912529,0.0226817080991903,0.980613489713108,0.00514559756460641,0.976251593890899,0.0240762974106986,0.981876611047725,2.75130638994614e-06,0.964114600396012,5.8461290431332e-05,0.953972050684287
"DP03_0043PE",0.694476321044072,1.00668588342861,7.40519183356745e-07,1.07803745447275,8.55750470207166e-10,1.0881412355079,5.14612184258313e-12,1.10425773151351,4.28290760935068e-12,1.10533922660943,8.85663548978328e-09,1.08361016368318,9.01772611560828e-06,1.06570120068622,1.22416358108154e-10,1.13917449633883
"DP03_0044PE",0.0265311165298069,1.10237139164072,0.0858740673259185,1.07419689669149,0.00968271498834679,1.10473936042156,0.183704400839664,1.05663181358731,0.104747452480795,1.06992502540814,0.393502004489352,1.03405402717104,0.13353663503189,1.06030911498228,0.154172758877816,1.08696005182563
"DP03_0045PE",0.419693025417434,1.01702008483499,0.134803408534653,1.02987772575532,0.331129839636907,1.01804279609556,0.511107333279748,1.01296710107791,0.344526833138639,1.01880502322216,0.198505969638239,1.02399574713906,0.859872076223139,0.996743478493671,0.536297071057957,0.98296874787829
