"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP04_0062PE",0.0499025420462903,0.00264166519593852,0.113774689444736,0.147933738378082,0.0667756144514164,-0.0125711865018768,-0.0424888420601612,-0.0475396503447089
"DP04_0063PE",0.109673722519392,0.0338410771329954,0.0756182731677498,0.119346338989507,0.142784916993172,0.189155144009577,0.215149382726245,0.0553300355895695
"DP04_0064PE",-0.0273074601219977,-0.000297982545453555,-0.0133222497455012,-0.0593495748105158,-0.0840543446302871,-0.113992801564,-0.125331090082989,-0.0505122786135827
"DP04_0065PE",-0.137258096170326,-0.0557987821804495,-0.0900966436299829,-0.126013994445931,-0.140922484160536,-0.182429076643606,-0.203528026329668,-0.0478959120454563
"DP04_0066PE",0.0182009646241044,-0.0194167131028392,-0.0954646276044378,-0.0795005921467501,-0.0989064652894068,-0.0599407869601603,-0.113938407784922,-0.0856260990659951
"DP04_0067PE",-0.0344697841638649,0.00290682538201203,-0.0204425897615067,-0.0579594148787915,-0.0904556957527503,-0.111083062073078,-0.0948628563599176,-0.0967477561851487
"DP04_0068PE",-0.0829518199146391,-0.0631702587204508,-0.0978347813156043,-0.102960957757009,-0.0654694917736271,-0.0333746430174051,-0.0456385389067389,0.061416079916707
"DP04_0069PE",0.117549906988791,0.0947557317739566,0.0833969058563757,0.105001128405354,0.0922864091519055,0.118683610308063,0.101895812903835,0.0778331370157278
"DP04_0070PE",0.163509884816253,0.0951983815403629,0.045504372876549,0.0130109128725314,-0.00370944952457097,-0.0665767333924147,-0.0536228197758223,-0.0137693973978215
"DP04_0071PE",0.0987906859107984,0.124188807312205,0.0785677179273463,0.0330719125761079,-0.0301607433970698,-0.054112840330674,-0.110367057985278,-0.0560541210384802
