"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP04_0016PE",0.0525394821024861,0.0303565901522108,0.145067189345187,0.174563588863671,0.0956426580093587,0.0231756765558576,-0.0262555501357295,-0.0261332156270954
"DP04_0017PE",0.0176117439101725,-0.137352649758282,-0.183503386942102,-0.272011224055292,-0.380939308219855,-0.442454406439519,-0.355650898849811,-0.337643016614318
"DP04_0018PE",-0.0573021808966131,-0.135200082473722,-0.134519600804421,-0.194245306865244,-0.292175768088065,-0.327059192949171,-0.315221797108206,-0.204199997933917
"DP04_0019PE",-0.0260331601699476,-0.152345786685448,-0.217569486680299,-0.231038931224347,-0.314087238447304,-0.334226995922877,-0.288996155920013,-0.192416710536545
"DP04_0020PE",-0.024500635073508,-0.174162207819019,-0.339852741644623,-0.354902906898555,-0.388915615202584,-0.365984515972603,-0.294057932466651,-0.242302764290652
"DP04_0021PE",-0.0180900072885369,-0.261832780327003,-0.386934817631507,-0.389224020167756,-0.374687221858716,-0.383234888296735,-0.340949926171175,-0.311713095601366
"DP04_0022PE",-0.0423673073291173,-0.184408004206088,-0.268733502424051,-0.232206095440093,-0.211637477872865,-0.217596232950467,-0.211252943843147,-0.183802092347252
"DP04_0023PE",-0.114074073666918,-0.0724795513501012,-0.0482125675489056,-0.0537379928492716,0.0187086959908673,0.0646189204819173,0.0688031873851175,-0.0119863596463329
"DP04_0024PE",-0.10544504417728,0.0483390774699448,0.154293949589616,0.143366861497826,0.230471711548632,0.263458566292868,0.288448596050485,0.169352760062981
"DP04_0025PE",-0.0557783153955918,0.0967832228973445,0.230457192858057,0.264186649474092,0.310493693429726,0.34537725414845,0.29041011637224,0.200733865665473
"DP04_0026PE",0.171387162563657,0.337278449479752,0.435893428933255,0.437317887302317,0.398791515112185,0.36354710016143,0.282566010847626,0.300255392301186
