"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP03_0119PE",0.05453437864222,0.362903540572946,0.496576502000087,0.494312621849273,0.510782068765936,0.541482600386263,0.38708657539444,0.430537035580724
"DP03_0120PE",0.0437606262731354,0.338256418099022,0.465005451813234,0.460535249099733,0.475221718566734,0.505068894783604,0.362996615559121,0.414545393002211
"DP03_0121PE",-0.034066072472904,0.256810832715191,0.358503149829391,0.364342195525122,0.401862315775296,0.449043783857868,0.367967765078669,0.366534529378515
"DP03_0122PE",0.115440413833366,0.427151226882209,0.590017268957409,0.560529840399439,0.585113091555377,0.616852463277452,0.52014255263122,0.495553731916839
"DP03_0123PE",0.104058435790739,0.394880173929826,0.540241111563023,0.511822837999319,0.536989899409103,0.578275019338208,0.488880676795854,0.466119526776732
"DP03_0124PE",-0.0161332773087663,0.117438328369418,0.257103208465646,0.240090597395125,0.247150976541491,0.275116517515067,0.229089389101475,0.215155800684717
"DP03_0125PE",-0.0163233079914341,0.250956415049469,0.389046469022088,0.420605405388201,0.411502088751553,0.416419365110134,0.339728144158707,0.398535684211961
"DP03_0126PE",0.00380629353765684,0.256207890242942,0.39184158625122,0.414537705280096,0.401116229315813,0.399162301028578,0.341260482988908,0.377749728316894
"DP03_0127PE",-0.0401250425306347,0.136764549040349,0.156607013968883,0.204144913121097,0.240762606892395,0.223851436824101,0.20879561093382,0.224079053864271
"DP03_0128PE",0.0446886118429782,0.343757898232865,0.4931631438889,0.470926173636773,0.459461475660966,0.478677139471546,0.318262560450974,0.389902338211869
"DP03_0129PE",0.0663618502948447,0.368341555744863,0.500535774660828,0.491260891443235,0.505623315999683,0.529604126379164,0.392557739176532,0.443879639152679
"DP03_0130PE",0.0676309662966632,0.369320393621828,0.50251407082272,0.49270604005653,0.507382162454999,0.53000410760798,0.393429145850178,0.445724349849809
"DP03_0131PE",0.0170664317992026,0.348320072670294,0.449492860104627,0.452528934884323,0.484150162216049,0.517338766220779,0.404969847725612,0.446851172539802
"DP03_0132PE",0.095134361647562,0.370347703724709,0.515784674364685,0.499935788580535,0.499231713928774,0.515202179543855,0.371621744801942,0.42906010315612
"DP03_0133PE",0.0375758125049208,0.309941862794021,0.459832478656362,0.4256680554698,0.39927103393136,0.415760274844117,0.24446566444852,0.327688279571434
"DP03_0134PE",0.0290474255628881,0.290856125905373,0.434530674764609,0.402300924503092,0.382913846090646,0.406813091070856,0.241261076570696,0.322105909681006
"DP03_0135PE",0.111923907481262,0.328782775839173,0.445360425032073,0.407248513030124,0.340328781697793,0.316858997350494,0.151945908496071,0.221464861620845
"DP03_0136PE",0.0689731277562736,0.35816032060061,0.495594566048223,0.484453031590552,0.498044840311133,0.525338728607898,0.376102927428545,0.417804953912656
"DP03_0137PE",-0.0375992360608562,0.285701385092143,0.436545556556282,0.446935765784109,0.419185791768237,0.463373191073584,0.308293716500669,0.378806296320163
