"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP02_0110PE",0.0420936566923612,0.0336635323364492,0.21711625568162,0.306111411504606,0.242282573003246,0.170954371572906,0.141315372607951,0.0897993088369726
"DP02_0111PE",-0.00680905707143065,-0.224649979094207,-0.45928732912386,-0.558927579279122,-0.599641769868353,-0.524618912393646,-0.627296528287472,-0.533026565217846
"DP02_0112PE",0.00680905707143065,0.224649979094207,0.45928732912386,0.558927579279122,0.599641769868353,0.524618912393646,0.627296528287472,0.533026565217846
"DP02_0113PE",0.0225636267624745,0.284774624779794,0.505828424036804,0.60477864846208,0.643870128001035,0.57453106002733,0.665447250712881,0.577006465522974
"DP02_0114PE",-0.00602374397285186,0.353704749056094,0.573902744736451,0.74365234391245,0.785013666997103,0.727596438333079,0.786077374629921,0.740053273473976
"DP02_0115PE",0.0177835588175984,0.392366794746479,0.588413980268602,0.751742712743893,0.78629062946168,0.729464431731535,0.789518218568172,0.7493954972154
"DP02_0116PE",0.00616117654913425,-0.165553936183051,-0.10864653370612,-0.17480296594034,-0.138073014037661,-0.179892213927183,-0.0781346417915153,-0.192890043605098
"DP02_0117PE",0.00366163543663605,-0.0886201502640103,-0.00410116004790087,-0.0541002124215869,-0.00788021186235455,-0.0474822841679075,0.0408737219147607,-0.0768350596378291
"DP02_0118PE",-0.0172640566885781,-0.163946530274698,-0.110590653968414,-0.160704126356021,-0.19582409719504,-0.234638894234327,-0.195774161037066,-0.180361577323069
"DP02_0119PE",-0.0242076064308437,-0.112940510941465,-0.0489225085247722,-0.0860032041095715,-0.111251617978406,-0.142748775647617,-0.124740027554609,-0.121831171388112
"DP02_0120PE",0.096645615581153,0.0534388024944228,0.090771219759368,-0.0268499862795429,-0.0508614466114243,-0.0470854918705115,-0.0267974096749976,-0.112469004172567
"DP02_0121PE",0.0942716333846784,0.0600146260574854,0.121070084379548,0.00292921282472429,-0.0174643617464648,-0.00488905922531982,0.0178640316816768,-0.0751171628319512
