"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP02_0001PE",0.0499025420462903,0.00264166519593852,0.113774689444736,0.147933738378082,0.0667756144514164,-0.0125711865018768,-0.0424888420601612,-0.0475396503447089
"DP02_0002PE",-0.0839134665130296,-0.0904907653193822,-0.0797403197066913,0.0306754274097083,0.114614679031243,0.173900502891657,0.284547637147754,0.0933792769477615
"DP02_0003PE",-0.0406706478529237,0.0299209732089737,0.0553559595563758,0.200324065096019,0.230356835095041,0.264471852759617,0.386712533886617,0.237626617721543
"DP02_0004PE",-0.0646650440217392,-0.308107978311377,-0.391326721180267,-0.35016152299054,-0.311664648508842,-0.30403081229287,-0.100290952295852,-0.255740306540915
"DP02_0005PE",-0.019276142329384,-0.191182554032309,-0.234482048780265,-0.160995335778575,-0.145527607323884,-0.147078932072989,0.053761756590575,-0.098541851965409
"DP02_0006PE",-0.0202346135841847,0.34613842176614,0.519989649502692,0.630347771515669,0.703548988848939,0.68466011796269,0.65394767321792,0.60502989813293
"DP02_0007PE",-0.0249016435811056,0.250918436503203,0.346630986115899,0.504823110657408,0.576675758212003,0.533798792890043,0.561279324548532,0.503609231098154
"DP02_0008PE",0.0055832388043691,0.337390576568033,0.455809600485245,0.505627668833864,0.533571577062884,0.608424665404581,0.401731349318645,0.429594502402899
"DP02_0009PE",-0.0275211035932926,0.34198969268109,0.440457204695982,0.510654083276582,0.514285785623331,0.588021910463238,0.415059641951727,0.458925450762679
"DP02_0010PE",0.0839134665130296,0.0904907653193822,0.0797403197066913,-0.0306754274097083,-0.114614679031242,-0.173900502891657,-0.284547637147754,-0.0933792769477615
"DP02_0011PE",0.0155863499482158,0.038629198496518,0.0356767655023761,-0.0573169865688117,-0.104556543657504,-0.142843130531548,-0.265892236506627,-0.105591806813006
"DP02_0012PE",-0.193830942407458,-0.205409799774172,-0.211369897824137,-0.227692116008315,-0.163318240791907,-0.123772395387998,-0.160123266626859,-0.203856560234997
"DP02_0013PE",-0.0274577346518872,0.139313034629517,0.19609577845,0.348185259746325,0.39531326827529,0.438484609330188,0.512389694059511,0.376515269159775
"DP02_0014PE",-0.186761118344847,-0.252179246381847,-0.244777898552654,-0.229897132932765,-0.112154572149199,-0.0524255535188714,-0.0317398725480319,-0.175800732649088
