"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP02_0150PE",0.0499025420462903,0.00264166519593852,0.113774689444736,0.147933738378082,0.0667756144514164,-0.0125711865018768,-0.0424888420601612,-0.0475396503447089
"DP02_0151PE",-0.0125894892803127,-0.317716431235983,-0.459445169289141,-0.461188721825496,-0.533546673767731,-0.557131947463175,-0.400368503025455,-0.407827361269937
"DP02_0152PE",-0.00837491558928548,-0.362684676800978,-0.495913642524169,-0.516778313425358,-0.578569264501043,-0.592628391228793,-0.447718341576225,-0.455130202727735
