"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP04_0006PE",0.0525394821024861,0.0303565901522108,0.145067189345187,0.174563588863671,0.0956426580093587,0.0231756765558576,-0.0262555501357295,-0.0261332156270954
"DP04_0007PE",-0.159544755233662,-0.278329335753683,-0.374331269260881,-0.321898391485774,-0.230810161411454,-0.138690218531108,-0.0505657732118875,-0.135280921331218
"DP04_0008PE",-0.0126216553299157,-0.215951919984649,-0.266289878244001,-0.182174971295621,-0.250190570967381,-0.271375512436326,-0.197987991506178,-0.214445955470599
"DP04_0009PE",0.1092311480507,0.407314124500236,0.585549974755925,0.616915746998031,0.634287535741925,0.620204516724205,0.510950573402876,0.484029104308499
"DP04_0010PE",0.225155842178171,0.405106802230345,0.484572100928708,0.474889313603054,0.435880356175749,0.379989012588287,0.27810321323601,0.291100057960055
"DP04_0011PE",0.15347247913854,0.175748635953792,0.205464135634729,0.124017080180412,0.0881654375928261,0.0111824981303619,-0.0437402123091879,0.0215109928065376
"DP04_0012PE",0.0656930196951021,-0.0145316123175184,-0.00224986615273306,-0.0299407183569609,-0.0325546224738162,-0.104310054168691,-0.0817804265702336,-0.00310298904837903
"DP04_0013PE",0.0135177639172182,-0.00133385982360249,0.0263941432893143,-0.0617389038697443,-0.156695216050037,-0.211505672798467,-0.263678340144682,-0.159727595059559
"DP04_0014PE",-0.0519677112990935,0.183561504155138,0.122353647841928,0.0814578839606237,0.0862088330245951,0.0930416388196921,0.145472457902766,0.166929531090742
"DP04_0015PE",0.132988751237554,0.0552474945059761,0.0459915612226317,0.000250100071453925,-0.0681007338042533,-0.069258995251816,-0.0832205900745234,-0.0655936753641018
